sequence,date,prompt_summary,category,response
1,2026-05-05,Write a program that searches job listings on LinkedIn,Feature,"Built linkedin_jobs.py using LinkedIn's guest API endpoint to scrape public job listings. Includes HTML parsing with HTMLParser and CLI with argparse for keywords/location/limit."
2,2026-05-05,Build the Indeed API first,Feature,"Created indeed_jobs.py using python-jobspy library which handles Indeed scraping. CLI supports keywords/location/results/hours/job_type/remote/country/save-to-csv options."
3,2026-05-05,Put the code files in SearchCode folder,Organization,"Moved linkedin_jobs.py and indeed_jobs.py into SearchCode/ folder using smartRelocate."
4,2026-05-05,Upgrade my Python,Environment,"Provided instructions for upgrading Python on Windows via official installer winget or pyenv-win. Cannot execute system installs directly."
5,2026-05-05,Check code for Python 3.14 compatibility,Maintenance,"Researched Python 3.14 breaking changes. Updated Optional[str] to str | None syntax. Confirmed all code is compatible with 3.14."
6,2026-05-05,Modify Indeed search to use country JSON or single country flag,Feature,"Added countries.json config file and updated indeed_jobs.py to search multiple countries from JSON or single country via --country flag. Added deduplication by URL."
7,2026-05-05,Ensure all English-speaking countries are in the list,Configuration,"Updated countries.json with USA UK Canada Australia Ireland New Zealand Singapore South Africa Nigeria Philippines India Pakistan Hong Kong - all supported by JobSpy."
8,2026-05-05,Write the command line to search for Director of Software Engineering,Usage,"Provided: python SearchCode/indeed_jobs.py 'Director of Software Engineering' with variations for location/type/save/remote."
9,2026-05-05,Is there a licensed way to search Indeed and get more than 10 per country,Research,"Researched Indeed API status - old Publisher API deprecated partner API is enterprise-only. Recommended Adzuna API (free 250 req/day) as best alternative."
10,2026-05-05,Build the Adzuna API version,Feature,"Created adzuna_jobs.py with .env credentials country code mapping multi-country search pagination salary filters sort options and CSV export. Free tier gives 50 results per country."
11,2026-05-05,Create a SQLite database and write results there with unique ID and dates,Feature,"Created db.py with searches and job_listings tables. Added init_db save_search save_jobs functions. Integrated into adzuna_jobs.py with INSERT OR IGNORE for deduplication."
12,2026-05-05,Install SQLite CLI,Environment,"Provided winget install SQLite.SQLite and choco install sqlite commands. Also showed Python alternative for querying without CLI."
13,2026-05-05,Find SQLite in system PATH,Environment,"Found SQLite at C:\\Users\\lex\\AppData\\Local\\Microsoft\\WinGet\\Packages\\SQLite.SQLite_Microsoft.Winget.Source_8wekyb3d8bbwe from systempath.txt."
14,2026-05-05,Add SQLite to PowerShell profile,Environment,"Provided instructions to add $env:PATH += sqlite path to $PROFILE file and reload with . $PROFILE."
15,2026-05-05,Show Python example to call the SQLite database,Usage,"Provided multiple Python one-liners and examples using db.py query_jobs function for viewing/filtering/counting jobs."
16,2026-05-05,Create a React web page to display all results from SQLite,Feature,"Created FastAPI backend (webapp/api/) and React frontend (webapp/client/) with Vite. Built JobTable Filters StatsBar components with pagination sorting and filtering."
17,2026-05-05,Use C# instead of Python for the API backend,Refactor,"Replaced FastAPI with ASP.NET Core minimal API (webapp/api_cs/). Created Program.cs with /jobs /countries /stats endpoints using Microsoft.Data.Sqlite. Builds on .NET 10."
18,2026-05-05,Fix OpenSSL configuration error for npm,Environment,"PostgreSQL ODBC driver set OPENSSL_CONF to nonexistent file. Fix: $env:OPENSSL_CONF='' before npm commands or add to $PROFILE permanently."
19,2026-05-05,Fix API database path resolution error,Bug Fix,"Changed DB path from AppContext.BaseDirectory relative to Directory.GetCurrentDirectory() relative. Path resolves correctly when running dotnet run from webapp/api_cs/."
20,2026-05-05,Add state column for US entries from Adzuna location data,Feature,"Added city and state columns to job_listings. Parse Adzuna area array for US state. Created migrate_db.py to ALTER TABLE on existing DB."
21,2026-05-05,Delete first set of search results from database,Maintenance,"Created delete_search.py script that lists searches by ID and deletes selected search + its job listings. Supports delete by ID or 'all'."
22,2026-05-05,Create application to import LinkedIn job links into jobs database,Feature,"Created linkedin_import.py - accepts URLs via CLI or --file fetches public pages parses title/company/location/type/description saves to jobs.db with deduplication."
23,2026-05-05,Build second React page for pasting job links and importing them,Feature,"Added job_links table POST/GET/DELETE /links endpoints. Built ImportLinks React page with URL input pending queue Run Import button that calls Python importer."
24,2026-05-05,Add Glassdoor and ZipRecruiter support to import page,Feature,"Updated C# URL validation and React UI to accept glassdoor.com and ziprecruiter.com. Added parsers for both in linkedin_import.py. Added colour-coded badges."
25,2026-05-05,Fix import link page Could not reach API error,Bug Fix,"The job_links table didn't exist. Added CREATE TABLE IF NOT EXISTS for all tables in C# startup so they're created automatically on every boot."
26,2026-05-05,Fix no such table job_links error,Bug Fix,"Same root cause - added auto-creation of job_links table in Program.cs startup initCmd block."
27,2026-05-05,Fix Run Import button disabled after failure,Bug Fix,"Fixed React processLinks to properly reset processing state in finally block. Added reset-all and per-row reset endpoints. Links only marked processed on success."
28,2026-05-05,Fix Process failed - no module bs4,Bug Fix,"beautifulsoup4 not installed under Python 3.14. Provided pip install commands for py -3.14."
29,2026-05-05,Fix Python PATH - use py -3.14 in C# API,Bug Fix,"Changed ProcessStartInfo.FileName from 'python' to 'py' with '-3.14' argument prefix since python resolves to old 3.10 install."
30,2026-05-05,Fix no module requests error,Bug Fix,"requests not installed under Python 3.14. User ran py -3.14 -m pip install requests."
31,2026-05-05,Fix UnicodeEncodeError with checkmark character,Bug Fix,"Replaced unicode checkmark with 'OK:' text. Added sys.stdout.reconfigure(encoding='utf-8' errors='replace') at script top."
32,2026-05-05,Clean up ugly import success message - add progress spinner and status,UI Improvement,"Rewrote ImportLinks page with per-row progress tracking animated spinner (braille chars) green/red status indicators and Back to Queue button."
33,2026-05-05,Delete linked imports that failed (empty title/company/location),Maintenance,"Created delete_empty_jobs.py that removes job_listings with all empty title/company/location and resets job_links back to pending."
34,2026-05-05,Add delete button on job search results screen,Feature,"Added DELETE /jobs/{id} endpoint. Added delete button column to JobTable component with immediate refresh on click."
35,2026-05-05,Fix LinkedIn scraping - use guest API endpoint,Bug Fix,"LinkedIn returns JS shell from main URL. Switched to /jobs-guest/jobs/api/jobPosting/{id} endpoint which returns server-rendered HTML with actual job data."
36,2026-05-05,Test LinkedIn guest API response for job data,Research,"Created test_fetch.py to verify guest API returns title company location. Confirmed: h2.top-card-layout__title and .topcard__flavor selectors work."
37,2026-05-05,Add source column (linkedin/indeed/adzuna etc),Feature,"Added source column to job_listings and db.py. Created add_source_column.py migration that back-fills based on URL patterns. Added Source column to React table."
